titles,years,genres,imdb,runtime,description,stars,votes,type,original
Natale a 5 stelle,2018,Comedy,4.5,92 min,"When the Italian Premier and his companion find a dead body in his hotel suite, while on a trip to Hungary, they find themselves embroiled in a series of comedic situations as they try to avoid a scandal.","Marco Risi, Massimo Ghini, Ricky Memphis, Martina Stella, Paola Minaccioni",562,Movie,Netflix
Nappily Ever After,2018,"Comedy, Drama, Romance",6.4,98 min,"Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.","Haifaa Al-Mansour, Sanaa Lathan, Ricky Whittle, Lyriq Bent, Lynn Whitfield","7,813",Movie,Netflix
Naked,2017,"Comedy, Fantasy, Romance",5.4,96 min,"Nervous about finally getting married, a guy is forced to relive the same nerve-wracking hours over and over again until he gets things right on his wedding day.","Michael Tiddes, Marlon Wayans, Regina Hall, Dennis Haysbert, J.T. Jackson","16,967",Movie,Netflix
My Own Man,2014,"Documentary, Comedy, Drama",6.3,82 min,"David the filmmaker is 40 years old, but he still doesn't feel like a man - not a real man anyway. When his wife becomes pregnant with a boy, David's manhood insecurities deepen. How can he... See full summary »",David Sampliner,387,Movie,Netflix
My Octopus Teacher,2020,Documentary,8.4,85 min,"A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.","Pippa Ehrlich, James Reed, Craig Foster, Tom Foster","10,921",Movie,Netflix
My Beautiful Broken Brain,2014,"Documentary, Biography",7.1,86 min,"MY BEAUTIFUL BROKEN BRAIN is 34 year old Lotje Sodderland's personal voyage into the complexity, fragility and wonder of her own brain following a life changing hemorrhagic stroke. ... See full summary »","Sophie Robinson, Lotje Sodderland, David Lynch, Sophie Robinson, Hente Sodderland, Jan Sodderland","2,044",Movie,Netflix
Mute,2018,"Mystery, Sci-Fi, Thriller",5.4,126 min,A mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner.,"Duncan Jones, Alexander Skarsgård, Paul Rudd, Justin Theroux, Levi Eisenblätter","30,150",Movie,Netflix
Music Teacher,2019,Drama,6.3,101 min,A dejected small-town music teacher grapples with guilt and regret when his ex-pupil who once loved him returns home as the star he always wanted to be.,"Sarthak Dasgupta, Divya Dutta, Neena Gupta, Niharika Lyra Dutt, Manav Kaul",496,Movie,Netflix
Murder to Mercy: The Cyntoia Brown Story,2020,Documentary,6.3,96 min,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",Daniel H. Birman,"1,830",Movie,Netflix
Murder Mystery,2019,"Action, Comedy, Crime",6,97 min,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.","Kyle Newacheck, Adam Sandler, Jennifer Aniston, Luke Evans, Terence Stamp","98,614",Movie,Netflix
Mucho Mucho Amor: The Legend of Walter Mercado,2020,Documentary,7.3,96 min,"Every day for decades, Walter Mercado — the iconic, gender non-conforming astrologer — mesmerized 120 million Latino viewers with his extravagance and positivity.","Cristina Costantini, Kareem Tabsch, Walter Mercado, Willy Acosta, Lin-Manuel Miranda, Raul de Molina","2,546",Movie,Netflix
Mrs. Serial Killer,2020,"Crime, Drama, Thriller",4.9,106 min,"When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.","Shirish Kunder, Jacqueline Fernandez, Manoj Bajpayee, Mohit Raina, Zayn Marie Khan","11,796",Movie,Netflix
Mowgli: Legend of the Jungle,2018,"Adventure, Drama, Fantasy",6.5,104 min,"A human child raised by wolves must face off against a menacing tiger named Shere Khan, as well as his own origins.","Andy Serkis, Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris","55,273",Movie,Netflix
Mitt,2014,"Documentary, Biography, Family",6.9,94 min,Mitt Romney and his family are followed through their U.S. Presidential campaigns.,"Greg Whiteley, Mitt Romney, Candy Crowley, Eric Draper, Jim Lehrer","2,471",Movie,Netflix
Mission Blue,2014,"Documentary, Drama",8,95 min,"Feature documentary about legendary oceanographer, marine biologist, environmentalist and National Geographic Explorer-in-Residence Sylvia Earle , and her campaign to create a global network of protected marine sanctuaries.","Robert Nixon, Fisher Stevens, Barbara Block, James Cameron, Michael deGruy, Sylvia Earle","1,584",Movie,Netflix
Miss Americana,2020,Documentary,7.4,85 min,A look at iconic pop artist Taylor Swift during a transformational time in her life as she embraces her role as a singer/songwriter and harnesses the full power of her voice.,"Lana Wilson, Taylor Swift, Andrea Swift, Scott Swift, Joel Little","14,638",Movie,Netflix
Miranda Sings Live... Your Welcome,2019,Comedy,5.5,61 min,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry.""","Marcus Raboy, Colleen Ballinger, Erik Stocklin",360,Movie,Netflix
Mike Epps: Don't Take It Personal,2015,Comedy,4.4,59 min,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.,"L. Frazier, Mike Epps",224,Movie,Netflix
Mercy,2016,"Drama, Mystery, Thriller",4.2,90 min,"When four estranged brothers return home to say their last goodbye to their dying mother, Grace, hidden motivations reveal themselves.","Chris Sparling, James Wolk, Tom Lipinski, Caitlin FitzGerald, Mike Donovan","2,957",Movie,Netflix
Mercury 13,2018,Documentary,6.8,78 min,"This documentary profiles women who were tested in 1961 for spaceflight, but had their dreams dashed when only men were chosen to become astronauts.","David Sington, Heather Walsh, Joyce Case, Bill Clinton, Hillary Clinton, Jerrie Cobb",927,Movie,Netflix
Menendez: The Day of the Lord,2020,"Drama, Horror, Thriller",4.8,93 min,A retired priest hunted by his sins is pulled back into darkness when a friend begs him to help his possessed daughter.,"Santiago Alvarado Ilarri, Juli Fàbregas, Hector Illanes, Dolores Heredia, Ximena Romo",393,Movie,Netflix
Maska,2020,"Comedy, Drama, Romance",5.9,111 min,"Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.","Neeraj Udhwani, Prit Kamani, Manisha Koirala, Shirley Setia, Javed Jaffrey","1,213",Movie,Netflix
Mascots,2016,Comedy,5.7,89 min,A look into the world of competitive mascots.,"Christopher Guest, Zach Woods, Wayne Wilderson, Sarah Baker, Michael Hitchcock","6,652",Movie,Netflix
Marriage Story,2019,"Comedy, Drama, Romance",8,137 min,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Noah Baumbach, Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson","235,202",Movie,Netflix
Malibu Rescue: The Next Wave,2020,"Action, Adventure, Comedy",4.6,68 min,"It's summer again, and everyone's favorite Junior Rescuers, The Flounders, are back at Tower 2. With the International Junior Rescue Championships headed to Southern California, the eyes of... See full summary »","Savage Steve Holland, Curtis Armstrong, Jeremy Howard, Carly Hughes, Breanna Yde",489,Movie,Netflix
Malibu Rescue,2019,"Action, Adventure, Comedy",4.8,68 min,"Aspiring junior lifeguards compete against snobby local kids for bragging rights and the ultimate tower at Malibu Beach, Calif.","Savage Steve Holland, Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly",913,Movie,Netflix
Lust Stories,2018,"Drama, Romance",6.5,120 min,"Four short films by four of India's biggest directors exploring love, sex and relationships in modern India.","Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap, Radhika Apte, Bhumi Pednekar, Kiara Advani, Vicky Kaushal","9,445",Movie,Netflix
"Love, Guaranteed",2020,"Comedy, Romance",5.5,90 min,"To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each other.","Mark Steven Johnson, Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden","11,099",Movie,Netflix
Love Wedding Repeat,2020,"Comedy, Romance",5.5,100 min,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.","Dean Craig, Sam Claflin, Olivia Munn, Freida Pinto, Eleanor Tomlinson","16,444",Movie,Netflix
Love Per Square Foot,2018,"Comedy, Romance",7.2,133 min,"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.","Anand Tiwari, Vicky Kaushal, Angira Dhar, Alankrita Sahai, Raghuvir Yadav","7,177",Movie,Netflix
Love Like the Falling Rain,2020,"Drama, Romance",4.8,86 min,"Kevin and Nara have been friends since childhood and they promise to always be best friends. But when Nara falls in love with a mysterious boy, Kevin feels that there is no hope for him to be with her forever.","Lasja Fauzia, Jefri Nichol, Aurora Ribero, Axel Matthew Thomas, Nadya Arina",102,Movie,Netflix
Loudon Wainwright III: Surviving Twin,2018,"Documentary, Music",7.1,91 min,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.,"Christopher Guest, Loudon Wainwright III",76,Movie,Netflix
Lost Girls,2020,"Drama, Mystery, Thriller",6.1,95 min,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","Liz Garbus, Amy Ryan, Thomasin McKenzie, Gabriel Byrne, Lola Kirke","15,165",Movie,Netflix
Lost Bullet,2020,"Action, Crime, Thriller",6.2,92 min,"A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.","Guillaume Pierret, Alban Lenoir, Nicolas Duvauchelle, Ramzy Bedia, Stéfi Celma","6,298",Movie,Netflix
Long Live Brij Mohan,2017,"Comedy, Crime, Drama",6.8,105 min,"A man fakes his own death. Unfortunately for him, starting a new life with a new identity will only bring him more problems.","Nikhil Bhat, Arjun Mathur, Nidhi Singh, Sheetal Thakur, Manav Vij","2,493",Movie,Netflix
Little Evil,2017,"Comedy, Horror",5.7,94 min,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.","Eli Craig, Evangeline Lilly, Owen Atlas, Adam Scott, Marcus Terrell Smith","18,606",Movie,Netflix
Lionheart,2018,Comedy,5.7,95 min,"Running a company can be challenging, especially if you are a female in a male-dominated industry. Looking to prove her worth, Adaeze steps up to the challenge when her father is forced to take a step back due to health issues.","Genevieve Nnaji, Genevieve Nnaji, Nkem Owoh, Pete Edochie, Onyeka Onwenu","1,270",Movie,Netflix
Like Father,2018,"Comedy, Drama",6.1,98 min,"After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.","Lauren Miller Rogen, Kristen Bell, Danielle Davenport, Kimiko Glenn, Wynter Kullman","18,509",Movie,Netflix
Let It Snow,2019,"Comedy, Romance",5.8,92 min,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.","Luke Snellin, Isabela Merced, Shameik Moore, Odeya Rush, Liv Hewson","16,179",Movie,Netflix
Laerte-se,2017,Documentary,6.9,100 min,"After living as a man for nearly 60 years, Laerte Coutinho, one of Brazil's most brilliant cartoonists, introduces herself to the world as a woman.","Lygia Barbosa, Eliane Brum, Laerte Coutinho, Eliane Brum, Rafael Coutinho, Rita Lee",604,Movie,Netflix
LA Originals,2020,Documentary,7.2,92 min,"Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond.","Estevan Oriol, Estevan Oriol, Mister Cartoon, Snoop Dogg, Clifton Collins Jr.","1,425",Movie,Netflix
Knock Down the House,2019,Documentary,7.1,87 min,A look at the people involved with various political campaigns during the 2018 U.S. congressional election.,"Rachel Lears, Alexandria Ocasio-Cortez, Cori Bush, Joe Crowley, Paula Jean Swearengin","10,956",Movie,Netflix
Klaus,2019,"Animation, Adventure, Comedy",8.2,96 min,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Sergio Pablos, Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso","78,429",Movie,Netflix
Kingdom of Us,2017,"Documentary, Drama",7,109 min,A father's suicide sends a family of eight on a journey through childhood memories and treacherous emotional waters in this poignant documentary.,"Lucy Cohen, Jamie-Jodie Shanks, Kacie-Kimie Shanks, Lorie-Lanie Shanks, Mirie-Marie Shanks",777,Movie,Netflix
Keith Richards: Under the Influence,2015,"Documentary, Music",7.1,81 min,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.","Morgan Neville, Keith Richards, Anthony DeCurtis, Steve Jordan, Tom Waits","2,848",Movie,Netflix
Kaali Khuhi,2020,"Drama, Horror, Mystery",3.4,90 min,"Shivangi, a 10 year old girl, is put to the ultimate test to save her family's village from the restless ghosts of its horrific past.","Terrie Samundra, Sanjeeda Sheikh, Shabana Azmi, Satyadeep Misra, Riva Arora",709,Movie,Netflix
Justin Timberlake + the Tennessee Kids,2016,"Documentary, Music",7.8,90 min,"The final performance of Justin Timberlake and the Tennessee Kids' 20/20 Experience World Tour, filmed in 2015 at the MGM Grand Garden Arena in Las Vegas.","Jonathan Demme, Justin Timberlake, Dontae Winslow","1,857",Movie,Netflix
